id,triggeredon,asin,brand,city,location,platform,pname,status,status_text,id,triggeredon,brand,bu,category,division,platform,revenue,sku_code,sub_category,units
2911,"2024-06-27 11:00:10.000000",B01GOH9LKW,Raaga,Delhi,110075,Amazon,"Raaga Liposoluble Wax Aloe Vera 800ml",1,"Add to Cart",1,"2024-05-31 12:30:25.000000","Raaga Professional",EC,"Body Care",PR,Amazon,6152.5,B01GOH9LKW,Waxes,NULL
2911,"2024-06-27 11:00:10.000000",B01GOH9LKW,Raaga,Delhi,110075,Amazon,"Raaga Liposoluble Wax Aloe Vera 800ml",1,"Add to Cart",5,"2024-03-19 17:40:20.000000",Raaga,EC,"Body Care",PR,Amazon,6152.5,B01GOH9LKW,Waxes,NULL
3222,"2024-06-23 11:00:21.000000",SMPGJT4Z7XCYTDRP,Nyle,Ahemdabad,380009,"Flipkart Grocery","NyleNat Silky Smooth Shampoo 1000ml",1,Add,16,"2024-05-31 12:30:25.000000",Nyle,EC,"Hair Care",PC,"Flipkart Grocery",12493.200000000001,SMPGJT4Z7XCYTDRP,Shampoo,NULL
2354,"2024-06-25 11:00:02.000000",B07WNNSMWJ,Raaga,Chennai,600004,Amazon,"Raaga PreWaxGel Lemon 280ml",1,"Add to Cart",22,"2024-05-31 12:30:25.000000","Raaga Professional",EC,"Body Care",PR,Amazon,630.5,B07WNNSMWJ,Waxes,NULL
3282,"2024-06-23 11:00:21.000000",SMPGJT4Z9BXZDCDY,Nyle,Ahemdabad,380009,"Flipkart Grocery","NyleNat Damage Repair Shampoo 1000ml",1,Add,23,"2024-05-31 12:30:25.000000",Nyle,EC,"Hair Care",PC,"Flipkart Grocery",6478,SMPGJT4Z9BXZDCDY,Shampoo,NULL
2986,"2024-06-28 11:00:05.000000",B07WVQTG7T,Raaga,Delhi,110075,Amazon,"Raaga PostWaxOil Rose 280ml",1,"Add to Cart",29,"2024-05-31 12:30:25.000000","Raaga Professional",EC,"Body Care",PR,Amazon,3661,B07WVQTG7T,Waxes,NULL
2354,"2024-06-25 11:00:02.000000",B07WNNSMWJ,Raaga,Chennai,600004,Amazon,"Raaga PreWaxGel Lemon 280ml",1,"Add to Cart",33,"2024-03-19 17:40:20.000000",Raaga,EC,"Body Care",PR,Amazon,3050.8000000000002,B07WNNSMWJ,Waxes,NULL
2380,"2024-06-13 11:00:02.000000",HRMFWKQKKV3UAXDB,Raaga,Gurgaon,122003,Flipkart,"Raaga Liposoluble Wax Pearl 800ml",1," Add to cart",36,"2024-05-31 12:30:25.000000","Raaga Professional",EC,"Body Care",PR,Flipkart,1949.2,HRMFWKQKKV3UAXDB,Waxes,NULL
2986,"2024-06-28 11:00:05.000000",B07WVQTG7T,Raaga,Delhi,110075,Amazon,"Raaga PostWaxOil Rose 280ml",1,"Add to Cart",40,"2024-03-19 17:40:20.000000",Raaga,EC,"Body Care",PR,Amazon,7322,B07WVQTG7T,Waxes,NULL
2380,"2024-06-13 11:00:02.000000",HRMFWKQKKV3UAXDB,Raaga,Gurgaon,122003,Flipkart,"Raaga Liposoluble Wax Pearl 800ml",1," Add to cart",47,"2024-03-19 17:40:20.000000",Raaga,EC,"Body Care",PR,Flipkart,1940.7,HRMFWKQKKV3UAXDB,Waxes,NULL
2620,"2024-06-13 11:00:02.000000",HRMG8P75FASR733C,Raaga,Gurgaon,122003,Flipkart,"Raaga Liposoluble Wax Straw 800ml",1," Add to cart",50,"2024-05-31 12:30:25.000000","Raaga Professional",EC,"Body Care",PR,Flipkart,3076.3000000000002,HRMG8P75FASR733C,Waxes,NULL
2740,"2024-06-13 11:00:02.000000",HRMG8P75WP3VWN9R,Raaga,Gurgaon,122003,Flipkart,"Raaga Liposoluble Wax Aloe Vera 800ml",1," Add to cart",57,"2024-05-31 12:30:25.000000","Raaga Professional",EC,"Body Care",PR,Flipkart,6135.6000000000004,HRMG8P75WP3VWN9R,Waxes,NULL
2620,"2024-06-13 11:00:02.000000",HRMG8P75FASR733C,Raaga,Gurgaon,122003,Flipkart,"Raaga Liposoluble Wax Straw 800ml",1," Add to cart",61,"2024-03-19 17:40:20.000000",Raaga,EC,"Body Care",PR,Flipkart,1025.4000000000001,HRMG8P75FASR733C,Waxes,NULL
2860,"2024-06-13 11:00:02.000000",HRMG8P76JSZXFNAA,Raaga,Gurgaon,122003,Flipkart,"Raaga Liposoluble Wax Gold 800ml",0,"Sold Out",64,"2024-05-31 12:30:25.000000","Raaga Professional",EC,"Body Care",PR,Flipkart,1100.8,HRMG8P76JSZXFNAA,Waxes,NULL
2740,"2024-06-13 11:00:02.000000",HRMG8P75WP3VWN9R,Raaga,Gurgaon,122003,Flipkart,"Raaga Liposoluble Wax Aloe Vera 800ml",1," Add to cart",68,"2024-03-19 17:40:20.000000",Raaga,EC,"Body Care",PR,Flipkart,2039,HRMG8P75WP3VWN9R,Waxes,NULL
3150,"2024-06-16 11:00:01.000000",B0CHS564ZX,Petterati,Pune,411007,Amazon,"Petterati Dog Conditioner 400ml",1,"Add to Cart",70,"2024-03-19 17:40:20.000000",Petterati,DF,Grooming,DF,Amazon,8097.5,B0CHS564ZX,Conditioner?,NULL
2414,"2024-06-25 11:00:02.000000",B0CHS564ZX,Petterati,Delhi,110075,Amazon,"Petterati Dog Conditioner 400ml",1,"Add to Cart",70,"2024-03-19 17:40:20.000000",Petterati,DF,Grooming,DF,Amazon,8097.5,B0CHS564ZX,Conditioner?,NULL
2860,"2024-06-13 11:00:02.000000",HRMG8P76JSZXFNAA,Raaga,Gurgaon,122003,Flipkart,"Raaga Liposoluble Wax Gold 800ml",0,"Sold Out",75,"2024-03-19 17:40:20.000000",Raaga,EC,"Body Care",PR,Flipkart,1109.3,HRMG8P76JSZXFNAA,Waxes,NULL
